,index,Age,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,mean_time,JobSatisfaction_4.0,WorkLifeBalance_1.0,EnvironmentSatisfaction_1.0,JobSatisfaction_2.0,JobRole_Sales Executive,MaritalStatus_Divorced,MaritalStatus_Single,EducationField_Human Resources,BusinessTravel_Travel_Frequently,Department_Human Resources,BusinessTravel_Non-Travel
0,0,0.7857142857142856,0.025,0.025,0.0,0.27952755905511806,1,0,0,0,0,0,0,0,0,0,0
1,1,0.3095238095238095,0.15000000000000002,0.125,0.23529411764705882,0.3484251968503935,0,0,0,1,0,0,1,0,1,0,0
2,2,0.3333333333333333,0.125,0.125,0.1764705882352941,0.2086614173228345,0,1,0,1,1,0,0,0,1,0,0
3,3,0.4761904761904761,0.325,0.2,0.29411764705882354,0.2440944881889764,1,0,0,0,0,0,0,0,0,0,1
4,4,0.3333333333333333,0.225,0.15000000000000002,0.23529411764705882,0.405511811023622,0,0,0,0,1,0,1,0,0,0,0
5,5,0.6666666666666665,0.7000000000000001,0.17500000000000002,0.4117647058823529,0.9547244094488192,0,0,0,1,0,0,0,0,0,0,0
6,6,0.23809523809523808,0.125,0.0,0.0,0.19094488188976366,0,1,1,0,1,0,1,0,0,0,0
7,7,0.2619047619047619,0.25,0.0,0.0,0.15354330708661412,0,0,1,1,1,0,0,0,0,0,0
8,8,0.3095238095238095,0.25,0.225,0.47058823529411764,0.25393700787401574,1,0,0,0,0,0,0,0,0,0,0
9,9,0.16666666666666669,0.15000000000000002,0.15000000000000002,0.29411764705882354,0.2224409448818896,0,0,0,0,0,1,0,0,0,0,1
10,10,0.6428571428571428,0.525,0.5,0.5882352941176471,0.48228346456692917,1,0,0,0,0,0,0,0,0,0,0
11,11,0.42857142857142855,0.4,0.375,0.6470588235294118,0.22047244094488194,1,0,0,0,0,0,0,0,0,0,0
12,12,0.8809523809523809,0.925,0.9,0.7647058823529411,0.659448818897638,0,0,0,0,1,0,1,0,0,0,0
13,13,0.6904761904761905,0.25,0.25,0.5294117647058824,0.6791338582677167,0,0,1,1,0,0,0,0,0,0,1
14,14,0.23809523809523808,0.125,0.125,0.23529411764705882,0.027559055118110187,1,0,0,0,0,0,0,0,0,0,0
15,15,0.4523809523809524,0.17500000000000002,0.125,0.058823529411764705,0.14960629921259838,1,0,0,0,0,0,0,0,0,0,0
16,16,0.07142857142857145,0.07500000000000001,0.07500000000000001,0.0,0.13188976377952755,0,0,0,0,0,0,1,0,0,0,0
