,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,StockOptionLevel,resignationReason,retirementType
0,Travel_Rarely,Sales,2,Life Sciences,Female,1,Healthcare Representative,Married,3,3,3.0,4.0,2.0,0,Others,Resignation
1,Travel_Frequently,Research & Development,1,Life Sciences,Female,1,Research Scientist,Single,2,4,3.0,2.0,4.0,1,Others,Resignation
2,Travel_Frequently,Research & Development,4,Other,Male,4,Sales Executive,Married,3,3,2.0,2.0,1.0,3,Others,Resignation
3,Non-Travel,Research & Development,5,Life Sciences,Male,3,Human Resources,Married,2,3,4.0,4.0,3.0,3,Others,Resignation
4,Travel_Rarely,Research & Development,1,Medical,Male,1,Sales Executive,Single,3,3,4.0,1.0,3.0,2,Others,Resignation
5,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,3,3,3.0,2.0,2.0,0,Others,Resignation
6,Travel_Rarely,Research & Development,2,Medical,Male,2,Sales Executive,Single,3,4,1.0,3.0,1.0,1,Stress,Resignation
7,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Sales Executive,Married,3,4,1.0,2.0,3.0,3,Others,Resignation
8,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Laboratory Technician,Married,3,4,2.0,4.0,3.0,0,Others,Resignation
9,Non-Travel,Research & Development,4,Medical,Female,4,Laboratory Technician,Divorced,3,3,2.0,1.0,3.0,1,Others,Resignation
10,Travel_Rarely,Research & Development,2,Medical,Male,2,Laboratory Technician,Married,2,3,3.0,4.0,3.0,2,Others,Resignation
11,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Married,3,3,3.0,4.0,3.0,2,Others,Resignation
12,Travel_Rarely,Research & Development,4,Life Sciences,Female,1,Sales Executive,Single,3,3,4.0,1.0,3.0,0,Others,Resignation
