,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,mean_time
0,51.0,6.0,131160.0,1.0,11.0,1.0,6.0,1.0,0.0,0.0,7.37
1,31.0,10.0,41890.0,0.0,23.0,6.0,3.0,5.0,1.0,4.0,7.72
2,32.0,17.0,193280.0,1.0,15.0,5.0,2.0,5.0,0.0,3.0,7.01
3,38.0,2.0,83210.0,3.0,11.0,13.0,5.0,8.0,7.0,5.0,7.19
4,32.0,10.0,23420.0,4.0,12.0,9.0,2.0,6.0,0.0,4.0,8.01
5,46.0,8.0,40710.0,3.0,13.0,28.0,5.0,7.0,7.0,7.0,10.8
6,28.0,11.0,58130.0,2.0,20.0,5.0,2.0,0.0,0.0,0.0,6.92
7,29.0,18.0,31430.0,2.0,22.0,10.0,2.0,0.0,0.0,0.0,6.73
8,31.0,1.0,20440.0,0.0,21.0,10.0,2.0,9.0,7.0,8.0,7.24
9,25.0,7.0,134640.0,1.0,13.0,6.0,2.0,6.0,1.0,5.0,7.08
10,45.0,17.0,79910.0,0.0,13.0,21.0,2.0,20.0,4.0,10.0,8.4
11,36.0,28.0,33770.0,0.0,12.0,16.0,2.0,15.0,10.0,11.0,7.07
12,55.0,14.0,55380.0,0.0,17.0,37.0,2.0,36.0,4.0,13.0,9.3
13,47.0,1.0,57620.0,1.0,11.0,10.0,4.0,10.0,9.0,9.0,9.4
14,28.0,1.0,25920.0,1.0,14.0,5.0,2.0,5.0,0.0,4.0,6.09
15,37.0,1.0,53460.0,4.0,11.0,7.0,2.0,5.0,0.0,1.0,6.71
16,21.0,3.0,42130.0,1.0,12.0,3.0,3.0,3.0,1.0,0.0,6.62
17,37.0,1.0,41270.0,2.0,13.0,15.0,2.0,5.0,0.0,2.0,11.01
18,35.0,7.0,24380.0,7.0,16.0,10.0,5.0,7.0,6.0,2.0,6.96
