EmployeeID,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,mean_time,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,StockOptionLevel,resignationReason,retirementType
1,51.0,6.0,131160.0,1.0,11.0,1.0,6.0,1.0,0.0,0.0,7.37,Travel_Rarely,Sales,2,Life Sciences,Female,1,Healthcare Representative,Married,3,3,3.0,4.0,2.0,0,Others,Resignation
2,31.0,10.0,41890.0,0.0,23.0,6.0,3.0,5.0,1.0,4.0,7.72,Travel_Frequently,Research & Development,1,Life Sciences,Female,1,Research Scientist,Single,2,4,3.0,2.0,4.0,1,Others,Resignation
3,32.0,17.0,193280.0,1.0,15.0,5.0,2.0,5.0,0.0,3.0,7.01,Travel_Frequently,Research & Development,4,Other,Male,4,Sales Executive,Married,3,3,2.0,2.0,1.0,3,Others,Resignation
4,38.0,2.0,83210.0,3.0,11.0,13.0,5.0,8.0,7.0,5.0,7.19,Non-Travel,Research & Development,5,Life Sciences,Male,3,Human Resources,Married,2,3,4.0,4.0,3.0,3,Others,Resignation
5,32.0,10.0,23420.0,4.0,12.0,9.0,2.0,6.0,0.0,4.0,8.01,Travel_Rarely,Research & Development,1,Medical,Male,1,Sales Executive,Single,3,3,4.0,1.0,3.0,2,Others,Resignation
6,46.0,8.0,40710.0,3.0,13.0,28.0,5.0,7.0,7.0,7.0,10.8,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,3,3,3.0,2.0,2.0,0,Others,Resignation
7,28.0,11.0,58130.0,2.0,20.0,5.0,2.0,0.0,0.0,0.0,6.92,Travel_Rarely,Research & Development,2,Medical,Male,2,Sales Executive,Single,3,4,1.0,3.0,1.0,1,Stress,Resignation
8,29.0,18.0,31430.0,2.0,22.0,10.0,2.0,0.0,0.0,0.0,6.73,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Sales Executive,Married,3,4,1.0,2.0,3.0,3,Others,Resignation
9,31.0,1.0,20440.0,0.0,21.0,10.0,2.0,9.0,7.0,8.0,7.24,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Laboratory Technician,Married,3,4,2.0,4.0,3.0,0,Others,Resignation
10,25.0,7.0,134640.0,1.0,13.0,6.0,2.0,6.0,1.0,5.0,7.08,Non-Travel,Research & Development,4,Medical,Female,4,Laboratory Technician,Divorced,3,3,2.0,1.0,3.0,1,Others,Resignation
11,45.0,17.0,79910.0,0.0,13.0,21.0,2.0,20.0,4.0,10.0,8.4,Travel_Rarely,Research & Development,2,Medical,Male,2,Laboratory Technician,Married,2,3,3.0,4.0,3.0,2,Others,Resignation
12,36.0,28.0,33770.0,0.0,12.0,16.0,2.0,15.0,10.0,11.0,7.07,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Married,3,3,3.0,4.0,3.0,2,Others,Resignation
13,55.0,14.0,55380.0,0.0,17.0,37.0,2.0,36.0,4.0,13.0,9.3,Travel_Rarely,Research & Development,4,Life Sciences,Female,1,Sales Executive,Single,3,3,4.0,1.0,3.0,0,Others,Resignation
14,47.0,1.0,57620.0,1.0,11.0,10.0,4.0,10.0,9.0,9.0,9.4,Non-Travel,Research & Development,1,Medical,Male,1,Research Scientist,Married,2,3,1.0,2.0,2.0,2,Others,Resignation
15,28.0,1.0,25920.0,1.0,14.0,5.0,2.0,5.0,0.0,4.0,6.09,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Manufacturing Director,Married,3,3,4.0,4.0,2.0,0,Others,Resignation
16,37.0,1.0,53460.0,4.0,11.0,7.0,2.0,5.0,0.0,1.0,6.71,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Healthcare Representative,Married,3,3,3.0,4.0,4.0,0,Others,Resignation
17,21.0,3.0,42130.0,1.0,12.0,3.0,3.0,3.0,1.0,0.0,6.62,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,Single,2,3,4.0,3.0,4.0,3,Others,Resignation
18,37.0,1.0,41270.0,2.0,13.0,15.0,2.0,5.0,0.0,2.0,11.01,Non-Travel,Research & Development,3,Medical,Male,2,Sales Executive,Divorced,3,3,1.0,4.0,3.0,1,Others,Resignation
19,35.0,7.0,24380.0,7.0,16.0,10.0,5.0,7.0,6.0,2.0,6.96,Travel_Rarely,Sales,4,Life Sciences,Male,1,Sales Representative,Divorced,2,3,2.0,2.0,2.0,0,Others,Resignation
20,38.0,8.0,68700.0,1.0,11.0,8.0,5.0,8.0,7.0,7.0,9.29,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Manager,Divorced,3,3,1.0,1.0,3.0,1,Others,Resignation
21,26.0,1.0,104470.0,1.0,18.0,6.0,3.0,6.0,1.0,4.0,7.59,Travel_Frequently,Research & Development,4,Other,Male,2,Laboratory Technician,Divorced,3,3,3.0,2.0,1.0,0,Others,Resignation
22,50.0,8.0,96670.0,3.0,23.0,28.0,2.0,10.0,1.0,6.0,6.01,Travel_Rarely,Sales,4,Life Sciences,Male,1,Research Scientist,Divorced,2,4,1.0,2.0,2.0,0,Others,Resignation
23,53.0,11.0,21480.0,3.0,11.0,21.0,2.0,5.0,1.0,3.0,8.4,Travel_Rarely,Research & Development,4,Life Sciences,Female,2,Research Scientist,Married,3,3,3.0,3.0,2.0,0,Others,Resignation
24,42.0,4.0,89260.0,1.0,14.0,10.0,4.0,20.0,11.0,6.0,6.81,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Manufacturing Director,Married,1,3,2.0,3.0,3.0,0,Others,Resignation
25,29.0,16.0,65130.0,1.0,11.0,10.0,2.0,10.0,0.0,9.0,7.09,Travel_Frequently,Research & Development,4,Medical,Male,1,Laboratory Technician,Single,3,3,2.0,4.0,2.0,1,Others,Resignation
26,55.0,1.0,67990.0,3.0,11.0,12.0,2.0,10.0,0.0,8.0,9.36,Travel_Rarely,Research & Development,4,Other,Female,1,Research Scientist,Married,3,3,2.0,4.0,3.0,0,Others,Resignation
27,26.0,9.0,162910.0,1.0,22.0,5.0,3.0,5.0,3.0,3.0,10.98,Travel_Frequently,Research & Development,3,Life Sciences,Female,1,Manager,Married,3,4,1.0,1.0,3.0,0,Others,Resignation
28,37.0,5.0,27050.0,1.0,11.0,17.0,2.0,17.0,5.0,7.0,7.61,Travel_Rarely,Sales,1,Marketing,Male,1,Research Scientist,Single,3,3,4.0,4.0,3.0,0,Others,Resignation
29,44.0,1.0,103330.0,3.0,14.0,19.0,2.0,1.0,0.0,0.0,10.98,Travel_Frequently,Research & Development,2,Medical,Male,2,Research Scientist,Divorced,2,3,4.0,3.0,1.0,1,Others,Resignation
30,38.0,2.0,44480.0,9.0,12.0,10.0,3.0,2.0,1.0,2.0,6.83,Travel_Rarely,Sales,3,Marketing,Female,1,Manager,Divorced,2,3,4.0,4.0,3.0,0,Others,Resignation
31,26.0,4.0,68540.0,2.0,11.0,5.0,5.0,3.0,0.0,2.0,10.11,Travel_Rarely,Research & Development,3,Medical,Male,3,Research Scientist,Divorced,2,3,1.0,2.0,3.0,0,Salary,Resignation
32,28.0,7.0,96370.0,1.0,13.0,5.0,6.0,5.0,0.0,2.0,6.71,Travel_Rarely,Research & Development,3,Other,Male,1,Human Resources,Single,2,3,4.0,4.0,3.0,0,Others,Resignation
33,49.0,1.0,35910.0,9.0,13.0,22.0,2.0,3.0,1.0,2.0,10.52,Travel_Frequently,Research & Development,1,Medical,Female,2,Research Scientist,Single,3,3,3.0,1.0,3.0,0,Others,Resignation
34,36.0,5.0,54050.0,4.0,14.0,10.0,2.0,8.0,7.0,7.0,6.18,Travel_Rarely,Sales,3,Technical Degree,Male,3,Sales Executive,Single,3,3,3.0,2.0,3.0,0,Others,Resignation
35,31.0,9.0,46840.0,1.0,16.0,2.0,4.0,2.0,2.0,2.0,6.59,Travel_Frequently,Research & Development,4,Medical,Male,1,Sales Executive,Divorced,3,3,4.0,2.0,2.0,1,Others,Resignation
36,26.0,8.0,157870.0,1.0,12.0,8.0,5.0,8.0,7.0,4.0,10.27,Travel_Rarely,Research & Development,3,Medical,Male,2,Manager,Single,3,3,4.0,4.0,3.0,2,Others,Resignation
37,37.0,9.0,15140.0,1.0,14.0,4.0,3.0,4.0,1.0,2.0,9.98,Travel_Frequently,Sales,1,Marketing,Male,1,Laboratory Technician,Married,3,3,2.0,4.0,2.0,0,Others,Resignation
38,42.0,2.0,29560.0,5.0,13.0,23.0,2.0,20.0,4.0,8.0,5.98,Travel_Frequently,Sales,2,Marketing,Male,3,Research Director,Married,3,3,3.0,2.0,4.0,0,Others,Resignation
39,18.0,1.0,23350.0,1.0,14.0,0.0,3.0,0.0,0.0,0.0,6.78,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Sales Executive,Single,2,3,3.0,3.0,3.0,2,Stress,Resignation
40,35.0,20.0,51540.0,0.0,19.0,12.0,2.0,11.0,6.0,9.0,7.69,Travel_Rarely,Sales,2,Life Sciences,Male,1,Laboratory Technician,Married,2,3,3.0,2.0,2.0,0,Others,Resignation
41,36.0,8.0,69620.0,4.0,12.0,4.0,2.0,1.0,0.0,0.0,7.21,Travel_Frequently,Research & Development,3,Other,Female,3,Sales Executive,Married,2,3,3.0,4.0,3.0,2,Others,Resignation
42,51.0,2.0,56750.0,5.0,13.0,13.0,2.0,4.0,1.0,2.0,7.59,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Laboratory Technician,Divorced,2,3,4.0,2.0,3.0,0,Others,Resignation
43,41.0,29.0,23790.0,1.0,12.0,22.0,6.0,22.0,0.0,4.0,6.95,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Single,3,3,4.0,2.0,3.0,0,Others,Resignation
44,18.0,7.0,38120.0,1.0,15.0,0.0,3.0,0.0,0.0,0.0,7.01,Travel_Rarely,Sales,3,Life Sciences,Male,1,Research Scientist,Single,3,3,4.0,3.0,3.0,0,Others,Resignation
45,28.0,9.0,46480.0,0.0,23.0,9.0,2.0,8.0,0.0,7.0,7.2,Travel_Rarely,Research & Development,3,Medical,Male,1,Sales Representative,Single,2,4,2.0,1.0,3.0,2,Others,Resignation
