,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,StockOptionLevel,resignationReason,retirementType
0,Travel_Rarely,Sales,2,Life Sciences,Female,1,Healthcare Representative,Married,3,3,3.0,4.0,2.0,0,Worked,Worked
1,Travel_Frequently,Research & Development,1,Life Sciences,Female,1,Research Scientist,Single,2,4,3.0,2.0,4.0,1,Others,Resignation
2,Travel_Frequently,Research & Development,4,Other,Male,4,Sales Executive,Married,3,3,2.0,2.0,1.0,3,Worked,Worked
3,Non-Travel,Research & Development,5,Life Sciences,Male,3,Human Resources,Married,2,3,4.0,4.0,3.0,3,Worked,Worked
4,Travel_Rarely,Research & Development,1,Medical,Male,1,Sales Executive,Single,3,3,4.0,1.0,3.0,2,Worked,Worked
5,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,3,3,3.0,2.0,2.0,0,Worked,Worked
6,Travel_Rarely,Research & Development,2,Medical,Male,2,Sales Executive,Single,3,4,1.0,3.0,1.0,1,Stress,Resignation
7,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Sales Executive,Married,3,4,1.0,2.0,3.0,3,Worked,Worked
8,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Laboratory Technician,Married,3,4,2.0,4.0,3.0,0,Worked,Worked
9,Non-Travel,Research & Development,4,Medical,Female,4,Laboratory Technician,Divorced,3,3,2.0,1.0,3.0,1,Worked,Worked
10,Travel_Rarely,Research & Development,2,Medical,Male,2,Laboratory Technician,Married,2,3,3.0,4.0,3.0,2,Worked,Worked
11,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Married,3,3,3.0,4.0,3.0,2,Worked,Worked
12,Travel_Rarely,Research & Development,4,Life Sciences,Female,1,Sales Executive,Single,3,3,4.0,1.0,3.0,0,Worked,Worked
13,Non-Travel,Research & Development,1,Medical,Male,1,Research Scientist,Married,2,3,1.0,2.0,2.0,2,Others,Resignation
14,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Manufacturing Director,Married,3,3,4.0,4.0,2.0,0,Worked,Worked
15,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Healthcare Representative,Married,3,3,3.0,4.0,4.0,0,Worked,Worked
16,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Laboratory Technician,Single,2,3,4.0,3.0,4.0,3,Worked,Worked
17,Non-Travel,Research & Development,3,Medical,Male,2,Sales Executive,Divorced,3,3,1.0,4.0,3.0,1,Worked,Worked
18,Travel_Rarely,Sales,4,Life Sciences,Male,1,Sales Representative,Divorced,2,3,2.0,2.0,2.0,0,Worked,Worked
19,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Manager,Divorced,3,3,1.0,1.0,3.0,1,Worked,Worked
20,Travel_Frequently,Research & Development,4,Other,Male,2,Laboratory Technician,Divorced,3,3,3.0,2.0,1.0,0,Worked,Worked
21,Travel_Rarely,Sales,4,Life Sciences,Male,1,Research Scientist,Divorced,2,4,1.0,2.0,2.0,0,Worked,Worked
22,Travel_Rarely,Research & Development,4,Life Sciences,Female,2,Research Scientist,Married,3,3,3.0,3.0,2.0,0,Worked,Worked
23,Travel_Rarely,Research & Development,0,Life Sciences,Male,0,Sales Executive,Married,1,3,2.0,3.0,3.0,0,Worked,Worked
24,Travel_Frequently,Research & Development,4,Medical,Male,1,Laboratory Technician,Single,3,3,2.0,4.0,2.0,1,Worked,Worked
25,Travel_Rarely,Research & Development,4,Other,Female,1,Research Scientist,Married,3,3,2.0,4.0,3.0,0,Worked,Worked
26,Travel_Frequently,Research & Development,3,Life Sciences,Female,1,Manager,Married,3,4,1.0,1.0,3.0,0,Worked,Worked
27,Travel_Rarely,Sales,1,Marketing,Male,1,Research Scientist,Single,3,3,4.0,4.0,3.0,0,Worked,Worked
28,Travel_Frequently,Research & Development,2,Medical,Male,2,Research Scientist,Divorced,2,3,4.0,3.0,1.0,1,Others,Resignation
29,Travel_Rarely,Sales,3,Marketing,Female,1,Manager,Divorced,2,3,4.0,4.0,3.0,0,Worked,Worked
30,Travel_Rarely,Research & Development,3,Medical,Male,3,Research Scientist,Divorced,2,3,1.0,2.0,3.0,0,Salary,Resignation
