,Unnamed: 0,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,mean_time
0,0,51,6,131160,1.0,11,1,6,1,0,0,7.37
1,1,31,10,41890,0.0,23,6,3,5,1,4,7.72
2,2,32,17,193280,1.0,15,5,2,5,0,3,7.01
3,3,38,2,83210,3.0,11,13,5,8,7,5,7.19
4,4,32,10,23420,4.0,12,9,2,6,0,4,8.01
5,5,46,8,40710,3.0,13,28,5,7,7,7,10.8
6,6,28,11,58130,2.0,20,5,2,0,0,0,6.92
7,7,29,18,31430,2.0,22,10,2,0,0,0,6.73
8,8,31,1,20440,0.0,21,10,2,9,7,8,7.24
9,9,25,7,134640,1.0,13,6,2,6,1,5,7.08
10,10,45,17,79910,0.0,13,21,2,20,4,10,8.4
11,11,36,28,33770,0.0,12,16,2,15,10,11,7.07
12,12,55,14,55380,0.0,17,37,2,36,4,13,9.3
13,13,47,1,57620,1.0,11,10,4,10,9,9,9.4
14,14,28,1,25920,1.0,14,5,2,5,0,4,6.09
15,15,37,1,53460,4.0,11,7,2,5,0,1,6.71
16,16,21,3,42130,1.0,12,3,3,3,1,0,6.62
17,17,37,1,41270,2.0,13,15,2,5,0,2,11.01
18,18,35,7,24380,7.0,16,10,5,7,6,2,6.96
19,19,38,8,68700,1.0,11,8,5,8,7,7,9.29
20,20,26,1,104470,1.0,18,6,3,6,1,4,7.59
21,21,50,8,96670,3.0,23,28,2,10,1,6,6.01
22,22,53,11,21480,3.0,11,21,2,5,1,3,8.4
23,23,0,0,0,1.0,0,0,0,0,0,0,6.81
24,24,29,16,65130,1.0,11,10,2,10,0,9,7.09
25,25,55,1,67990,3.0,11,12,2,10,0,8,9.36
26,26,26,9,162910,1.0,22,5,3,5,3,3,10.98
27,27,37,5,27050,1.0,11,17,2,17,5,7,7.61
28,28,44,1,103330,3.0,14,19,2,1,0,0,10.98
29,29,38,2,44480,9.0,12,10,3,2,1,2,6.83
30,30,26,4,68540,2.0,11,5,5,3,0,2,10.11
31,31,28,7,96370,1.0,13,5,6,5,0,2,6.71
32,32,49,1,35910,9.0,13,22,2,3,1,2,10.52
33,33,36,5,54050,4.0,14,10,2,8,7,7,6.18
34,34,31,9,46840,1.0,16,2,4,2,2,2,6.59
35,35,26,8,157870,1.0,12,8,5,8,7,4,10.27
36,36,37,9,15140,1.0,14,4,3,4,1,2,9.98
37,37,42,2,29560,5.0,13,23,2,20,4,8,5.98
38,38,18,1,23350,1.0,14,0,3,0,0,0,6.78
39,39,35,20,51540,0.0,19,12,2,11,6,9,7.69
40,40,36,8,69620,4.0,12,4,2,1,0,0,7.21
41,41,51,2,56750,5.0,13,13,2,4,1,2,7.59
42,42,41,29,23790,1.0,12,22,6,22,0,4,6.95
43,43,18,7,38120,1.0,15,0,3,0,0,0,7.01
44,44,28,9,46480,0.0,23,9,2,8,0,7,7.2
45,45,31,8,29360,4.0,12,10,2,8,7,7,7.17
46,46,39,5,21050,0.0,20,19,3,18,3,7,7.64
47,47,36,5,85780,7.0,21,11,4,9,0,8,7.83
48,48,32,2,27060,1.0,21,13,4,13,4,8,6.97
49,49,38,5,63840,3.0,19,19,4,10,0,1,6.91
50,50,58,2,39680,2.0,13,12,3,5,1,2,10.9
51,51,31,20,99070,0.0,13,6,3,5,0,3,9.12
52,52,31,7,132250,3.0,21,9,2,2,1,0,6.83
53,53,45,3,35400,1.0,13,24,6,24,9,11,7.32
54,54,31,16,28040,0.0,19,3,0,2,2,2,8.61
55,55,33,9,193920,6.0,12,12,3,10,8,8,6.78
56,56,39,1,196650,1.0,22,21,6,21,11,10,10.99
57,57,43,7,24390,0.0,15,9,2,8,1,7,7.69
58,58,49,1,73140,7.0,22,25,2,7,0,7,9.95
59,59,52,7,47740,2.0,18,11,2,8,7,7,7.91
60,60,27,15,39020,1.0,22,4,2,4,1,2,10.67
61,61,32,1,26620,1.0,11,13,6,13,11,9,10.5
62,62,27,13,28560,1.0,12,5,5,5,0,4,10.07
63,63,31,24,10810,4.0,11,13,4,7,1,7,6.61
64,64,32,7,24720,7.0,13,10,2,7,0,7,7.5
65,65,28,9,56730,5.0,14,5,4,3,2,2,10.73
66,66,30,13,41970,1.0,13,11,3,10,1,9,6.18
67,67,31,2,97130,1.0,17,10,5,10,8,9,6.61
68,68,39,19,20620,1.0,13,21,4,21,13,3,6.08
69,69,39,1,42840,4.0,17,12,0,1,0,0,9.97
70,70,33,4,47880,3.0,11,9,0,7,0,1,7.42
71,71,47,4,59060,4.0,23,21,4,3,1,1,6.49
72,72,43,14,38860,1.0,17,9,2,9,0,0,6.3
73,73,27,2,168230,0.0,17,6,3,5,1,4,9.32
74,74,54,1,29330,3.0,12,20,2,4,0,3,6.1
75,75,43,7,65000,8.0,23,10,3,1,0,0,7.22
76,76,45,3,171740,9.0,14,12,6,10,9,8,7.1
77,77,40,2,50330,2.0,14,6,6,4,0,2,9.91
78,78,29,29,23070,1.0,13,7,0,7,0,7,10.48
79,79,29,8,25870,0.0,22,4,3,3,2,2,6.91
80,80,30,10,55070,1.0,12,10,2,10,1,2,7.59
81,81,27,11,43930,1.0,18,8,2,8,0,7,6.08
82,82,37,1,133480,7.0,14,8,4,6,0,4,6.0
83,83,38,28,65830,0.0,12,12,1,11,2,9,8.98
84,84,31,6,81030,1.0,15,11,5,11,4,10,10.43
85,85,29,3,39780,1.0,11,7,0,7,1,7,8.39
86,86,35,16,25440,0.0,13,17,3,16,0,13,7.91
87,87,23,20,53990,1.0,23,4,2,4,0,2,7.11
88,88,41,9,54870,6.0,19,8,0,5,1,2,9.69
89,89,47,1,68340,3.0,16,5,2,0,0,0,7.77
90,90,42,3,10910,2.0,22,16,0,1,0,0,6.28
91,91,29,22,57360,1.0,22,4,1,4,0,2,6.31
92,92,42,7,22260,0.0,12,4,3,3,1,0,8.83
93,93,32,2,57470,1.0,13,8,0,8,0,7,7.72
94,94,48,13,98540,3.0,16,15,2,0,0,0,7.32
95,95,37,8,54670,4.0,12,13,2,7,6,7,10.8
96,96,30,25,53800,7.0,21,4,0,2,2,2,10.4
97,97,26,28,51510,1.0,15,8,3,8,7,7,5.99
98,98,42,2,21330,3.0,13,14,2,1,0,0,6.11
99,99,21,9,178750,1.0,12,3,5,3,1,2,8.13
100,100,36,28,24320,4.0,22,7,4,1,0,0,7.31
101,101,36,6,47710,4.0,13,16,2,13,1,12,7.11
