,EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,Attrition,retirementType,resignationReason,mean_time
0,1,3.0,4.0,2.0,51,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Healthcare Representative,Married,131160,1.0,11,0,1,6,1,0,0,3,3,No,Worked,Worked,7.37
1,2,3.0,2.0,4.0,31,Travel_Frequently,Research & Development,10,1,Life Sciences,Female,1,Research Scientist,Single,41890,0.0,23,1,6,3,5,1,4,2,4,Yes,Resignation,Others,7.72
2,3,2.0,2.0,1.0,32,Travel_Frequently,Research & Development,17,4,Other,Male,4,Sales Executive,Married,193280,1.0,15,3,5,2,5,0,3,3,3,No,Worked,Worked,7.01
3,4,4.0,4.0,3.0,38,Non-Travel,Research & Development,2,5,Life Sciences,Male,3,Human Resources,Married,83210,3.0,11,3,13,5,8,7,5,2,3,No,Worked,Worked,7.19
4,5,4.0,1.0,3.0,32,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Sales Executive,Single,23420,4.0,12,2,9,2,6,0,4,3,3,No,Worked,Worked,8.01
5,6,3.0,2.0,2.0,46,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,4,Research Director,Married,40710,3.0,13,0,28,5,7,7,7,3,3,No,Worked,Worked,10.8
6,7,1.0,3.0,1.0,28,Travel_Rarely,Research & Development,11,2,Medical,Male,2,Sales Executive,Single,58130,2.0,20,1,5,2,0,0,0,3,4,Yes,Resignation,Stress,6.92
7,8,1.0,2.0,3.0,29,Travel_Rarely,Research & Development,18,3,Life Sciences,Male,2,Sales Executive,Married,31430,2.0,22,3,10,2,0,0,0,3,4,No,Worked,Worked,6.73
8,9,2.0,4.0,3.0,31,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Laboratory Technician,Married,20440,0.0,21,0,10,2,9,7,8,3,4,No,Worked,Worked,7.24
9,10,2.0,1.0,3.0,25,Non-Travel,Research & Development,7,4,Medical,Female,4,Laboratory Technician,Divorced,134640,1.0,13,1,6,2,6,1,5,3,3,No,Worked,Worked,7.08
10,11,3.0,4.0,3.0,45,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Married,79910,0.0,13,2,21,2,20,4,10,2,3,No,Worked,Worked,8.4
11,12,3.0,4.0,3.0,36,Travel_Rarely,Research & Development,28,1,Life Sciences,Male,1,Laboratory Technician,Married,33770,0.0,12,2,16,2,15,10,11,3,3,No,Worked,Worked,7.07
12,13,4.0,1.0,3.0,55,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Sales Executive,Single,55380,0.0,17,0,37,2,36,4,13,3,3,No,Worked,Worked,9.3
13,14,1.0,2.0,2.0,47,Non-Travel,Research & Development,1,1,Medical,Male,1,Research Scientist,Married,57620,1.0,11,2,10,4,10,9,9,2,3,Yes,Resignation,Others,9.4
14,15,4.0,4.0,2.0,28,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Manufacturing Director,Married,25920,1.0,14,0,5,2,5,0,4,3,3,No,Worked,Worked,6.09
15,16,3.0,4.0,4.0,37,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Healthcare Representative,Married,53460,4.0,11,0,7,2,5,0,1,3,3,No,Worked,Worked,6.71
16,17,4.0,3.0,4.0,21,Travel_Rarely,Research & Development,3,2,Life Sciences,Male,1,Laboratory Technician,Single,42130,1.0,12,3,3,3,3,1,0,2,3,No,Worked,Worked,6.62
17,18,1.0,4.0,3.0,37,Non-Travel,Research & Development,1,3,Medical,Male,2,Sales Executive,Divorced,41270,2.0,13,1,15,2,5,0,2,3,3,No,Worked,Worked,11.01
18,19,2.0,2.0,2.0,35,Travel_Rarely,Sales,7,4,Life Sciences,Male,1,Sales Representative,Divorced,24380,7.0,16,0,10,5,7,6,2,2,3,No,Worked,Worked,6.96
19,20,1.0,1.0,3.0,38,Travel_Rarely,Research & Development,8,3,Life Sciences,Female,1,Manager,Divorced,68700,1.0,11,1,8,5,8,7,7,3,3,No,Worked,Worked,9.29
20,21,3.0,2.0,1.0,26,Travel_Frequently,Research & Development,1,4,Other,Male,2,Laboratory Technician,Divorced,104470,1.0,18,0,6,3,6,1,4,3,3,No,Worked,Worked,7.59
21,22,1.0,2.0,2.0,50,Travel_Rarely,Sales,8,4,Life Sciences,Male,1,Research Scientist,Divorced,96670,3.0,23,0,28,2,10,1,6,2,4,No,Worked,Worked,6.01
22,23,3.0,3.0,2.0,53,Travel_Rarely,Research & Development,11,4,Life Sciences,Female,2,Research Scientist,Married,21480,3.0,11,0,21,2,5,1,3,3,3,No,Worked,Worked,8.4
23,24,2.0,3.0,3.0,0,Travel_Rarely,Research & Development,0,0,Life Sciences,Male,0,Sales Executive,Married,0,1.0,0,0,0,0,0,0,0,1,3,No,Worked,Worked,6.81
24,25,2.0,4.0,2.0,29,Travel_Frequently,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Single,65130,1.0,11,1,10,2,10,0,9,3,3,No,Worked,Worked,7.09
25,26,2.0,4.0,3.0,55,Travel_Rarely,Research & Development,1,4,Other,Female,1,Research Scientist,Married,67990,3.0,11,0,12,2,10,0,8,3,3,No,Worked,Worked,9.36
26,27,1.0,1.0,3.0,26,Travel_Frequently,Research & Development,9,3,Life Sciences,Female,1,Manager,Married,162910,1.0,22,0,5,3,5,3,3,3,4,No,Worked,Worked,10.98
27,28,4.0,4.0,3.0,37,Travel_Rarely,Sales,5,1,Marketing,Male,1,Research Scientist,Single,27050,1.0,11,0,17,2,17,5,7,3,3,No,Worked,Worked,7.61
28,29,4.0,3.0,1.0,44,Travel_Frequently,Research & Development,1,2,Medical,Male,2,Research Scientist,Divorced,103330,3.0,14,1,19,2,1,0,0,2,3,Yes,Resignation,Others,10.98
29,30,4.0,4.0,3.0,38,Travel_Rarely,Sales,2,3,Marketing,Female,1,Manager,Divorced,44480,9.0,12,0,10,3,2,1,2,2,3,No,Worked,Worked,6.83
30,31,1.0,2.0,3.0,26,Travel_Rarely,Research & Development,4,3,Medical,Male,3,Research Scientist,Divorced,68540,2.0,11,0,5,5,3,0,2,2,3,Yes,Resignation,Salary,10.11
31,32,4.0,4.0,3.0,28,Travel_Rarely,Research & Development,7,3,Other,Male,1,Human Resources,Single,96370,1.0,13,0,5,6,5,0,2,2,3,No,Worked,Worked,6.71
32,33,3.0,1.0,3.0,49,Travel_Frequently,Research & Development,1,1,Medical,Female,2,Research Scientist,Single,35910,9.0,13,0,22,2,3,1,2,3,3,No,Worked,Worked,10.52
33,34,3.0,2.0,3.0,36,Travel_Rarely,Sales,5,3,Technical Degree,Male,3,Sales Executive,Single,54050,4.0,14,0,10,2,8,7,7,3,3,No,Worked,Worked,6.18
34,35,4.0,2.0,2.0,31,Travel_Frequently,Research & Development,9,4,Medical,Male,1,Sales Executive,Divorced,46840,1.0,16,1,2,4,2,2,2,3,3,No,Worked,Worked,6.59
35,36,4.0,4.0,3.0,26,Travel_Rarely,Research & Development,8,3,Medical,Male,2,Manager,Single,157870,1.0,12,2,8,5,8,7,4,3,3,Yes,Resignation,Others,10.27
36,37,2.0,4.0,2.0,37,Travel_Frequently,Sales,9,1,Marketing,Male,1,Laboratory Technician,Married,15140,1.0,14,0,4,3,4,1,2,3,3,No,Worked,Worked,9.98
37,38,3.0,2.0,4.0,42,Travel_Frequently,Sales,2,2,Marketing,Male,3,Research Director,Married,29560,5.0,13,0,23,2,20,4,8,3,3,No,Worked,Worked,5.98
38,39,3.0,3.0,3.0,18,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,1,Sales Executive,Single,23350,1.0,14,2,0,3,0,0,0,2,3,Yes,Resignation,Stress,6.78
39,40,3.0,2.0,2.0,35,Travel_Rarely,Sales,20,2,Life Sciences,Male,1,Laboratory Technician,Married,51540,0.0,19,0,12,2,11,6,9,2,3,No,Worked,Worked,7.69
40,41,3.0,4.0,3.0,36,Travel_Frequently,Research & Development,8,3,Other,Female,3,Sales Executive,Married,69620,4.0,12,2,4,2,1,0,0,2,3,No,Worked,Worked,7.21
41,42,4.0,2.0,3.0,51,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Laboratory Technician,Divorced,56750,5.0,13,0,13,2,4,1,2,2,3,No,Worked,Worked,7.59
42,43,4.0,2.0,3.0,41,Travel_Rarely,Research & Development,29,1,Life Sciences,Male,1,Laboratory Technician,Single,23790,1.0,12,0,22,6,22,0,4,3,3,No,Worked,Worked,6.95
43,44,4.0,3.0,3.0,18,Travel_Rarely,Sales,7,3,Life Sciences,Male,1,Research Scientist,Single,38120,1.0,15,0,0,3,0,0,0,3,3,No,Worked,Worked,7.01
44,45,2.0,1.0,3.0,28,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Sales Representative,Single,46480,0.0,23,2,9,2,8,0,7,2,4,No,Worked,Worked,7.2
45,46,2.0,4.0,2.0,31,Travel_Rarely,Research & Development,8,1,Technical Degree,Male,1,Manufacturing Director,Married,29360,4.0,12,1,10,2,8,7,7,3,3,No,Worked,Worked,7.17
46,47,3.0,4.0,2.0,39,Travel_Rarely,Sales,5,4,Marketing,Female,2,Human Resources,Divorced,21050,0.0,20,0,19,3,18,3,7,3,4,No,Worked,Worked,7.64
47,48,2.0,2.0,3.0,36,Non-Travel,Research & Development,5,4,Life Sciences,Male,1,Sales Executive,Married,85780,7.0,21,0,11,4,9,0,8,3,4,No,Worked,Worked,7.83
48,49,4.0,3.0,2.0,32,Travel_Rarely,Sales,2,3,Marketing,Male,2,Laboratory Technician,Married,27060,1.0,21,1,13,4,13,4,8,3,4,No,Worked,Worked,6.97
49,50,1.0,2.0,3.0,38,Travel_Rarely,Research & Development,5,2,Life Sciences,Female,3,Research Scientist,Married,63840,3.0,19,2,19,4,10,0,1,2,3,No,Worked,Worked,6.91
50,51,4.0,3.0,3.0,58,Non-Travel,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Divorced,39680,2.0,13,2,12,3,5,1,2,2,3,No,Worked,Worked,10.9
51,52,3.0,4.0,3.0,31,Travel_Rarely,Research & Development,20,1,Technical Degree,Female,3,Research Scientist,Married,99070,0.0,13,1,6,3,5,0,3,2,3,No,Worked,Worked,9.12
52,53,1.0,1.0,3.0,31,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Married,132250,3.0,21,1,9,2,2,1,0,3,4,No,Worked,Worked,6.83
53,54,1.0,1.0,3.0,45,Travel_Frequently,Research & Development,3,1,Medical,Female,1,Sales Executive,Divorced,35400,1.0,13,0,24,6,24,9,11,3,3,No,Worked,Worked,7.32
54,55,3.0,4.0,1.0,31,Travel_Rarely,Sales,16,4,Marketing,Female,2,Research Scientist,Divorced,28040,0.0,19,2,3,0,2,2,2,3,3,No,Worked,Worked,8.61
55,56,4.0,2.0,3.0,33,Travel_Frequently,Research & Development,9,3,Life Sciences,Male,4,Research Director,Married,193920,6.0,12,1,12,3,10,8,8,3,3,No,Worked,Worked,6.78
56,57,3.0,1.0,3.0,39,Travel_Rarely,Sales,1,4,Life Sciences,Male,1,Sales Executive,Married,196650,1.0,22,1,21,6,21,11,10,3,4,No,Worked,Worked,10.99
57,58,3.0,4.0,3.0,43,Travel_Frequently,Research & Development,7,4,Medical,Male,4,Research Scientist,Single,24390,0.0,15,0,9,2,8,1,7,3,3,No,Worked,Worked,7.69
58,59,3.0,3.0,3.0,49,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Manufacturing Director,Single,73140,7.0,22,0,25,2,7,0,7,3,4,No,Worked,Worked,9.95
59,60,3.0,2.0,2.0,52,Travel_Rarely,Research & Development,7,1,Life Sciences,Female,2,Research Scientist,Married,47740,2.0,18,1,11,2,8,7,7,3,3,Yes,Resignation,Others,7.91
60,61,3.0,2.0,2.0,27,Travel_Rarely,Research & Development,15,4,Medical,Male,3,Research Scientist,Single,39020,1.0,22,0,4,2,4,1,2,3,4,No,Worked,Worked,10.67
61,62,3.0,2.0,3.0,32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Research Scientist,Married,26620,1.0,11,1,13,6,13,11,9,4,3,No,Worked,Worked,10.5
62,63,4.0,3.0,3.0,27,Travel_Rarely,Research & Development,13,2,Medical,Female,4,Research Director,Single,28560,1.0,12,2,5,5,5,0,4,4,3,No,Worked,Worked,10.07
63,64,4.0,4.0,3.0,31,Travel_Rarely,Sales,24,3,Life Sciences,Male,2,Healthcare Representative,Divorced,10810,4.0,11,3,13,4,7,1,7,4,3,No,Worked,Worked,6.61
64,65,1.0,4.0,2.0,32,Travel_Rarely,Research & Development,7,3,Technical Degree,Male,2,Healthcare Representative,Single,24720,7.0,13,0,10,2,7,0,7,3,3,No,Worked,Worked,7.5
65,66,1.0,4.0,2.0,28,Travel_Rarely,Research & Development,9,4,Medical,Male,1,Sales Executive,Married,56730,5.0,14,1,5,4,3,2,2,2,3,Yes,Resignation,Salary,10.73
66,67,4.0,4.0,3.0,30,Travel_Rarely,Research & Development,13,3,Life Sciences,Female,4,Research Director,Married,41970,1.0,13,0,11,3,10,1,9,3,3,No,Worked,Worked,6.18
67,68,3.0,3.0,3.0,31,Travel_Frequently,Research & Development,2,1,Life Sciences,Female,1,Manager,Married,97130,1.0,17,0,10,5,10,8,9,2,3,No,Worked,Worked,6.61
68,69,3.0,4.0,3.0,39,Travel_Frequently,Research & Development,19,4,Medical,Female,1,Research Scientist,Married,20620,1.0,13,0,21,4,21,13,3,3,3,No,Worked,Worked,6.08
69,70,4.0,3.0,2.0,39,Travel_Rarely,Research & Development,1,1,Medical,Female,1,Laboratory Technician,Married,42840,4.0,17,1,12,0,1,0,0,3,3,Yes,Fired,Worked,9.97
70,71,2.0,4.0,2.0,33,Travel_Frequently,Sales,4,2,Life Sciences,Male,4,Research Scientist,Single,47880,3.0,11,1,9,0,7,0,1,3,3,No,Worked,Worked,7.42
71,72,4.0,3.0,3.0,47,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,2,Healthcare Representative,Married,59060,4.0,23,0,21,4,3,1,1,4,4,No,Worked,Worked,6.49
72,73,3.0,3.0,4.0,43,Travel_Frequently,Research & Development,14,3,Medical,Female,5,Research Director,Divorced,38860,1.0,17,2,9,2,9,0,0,3,3,No,Worked,Worked,6.3
73,74,3.0,2.0,3.0,27,Non-Travel,Research & Development,2,3,Life Sciences,Male,1,Research Director,Married,168230,0.0,17,0,6,3,5,1,4,3,3,No,Worked,Worked,9.32
74,75,4.0,3.0,2.0,54,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,2,Research Scientist,Single,29330,3.0,12,2,20,2,4,0,3,3,3,No,Worked,Worked,6.1
75,76,3.0,1.0,2.0,43,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,2,Manager,Married,65000,8.0,23,0,10,3,1,0,0,3,4,No,Worked,Worked,7.22
76,77,4.0,4.0,3.0,45,Travel_Rarely,Sales,3,1,Marketing,Female,1,Sales Executive,Married,171740,9.0,14,1,12,6,10,9,8,3,3,No,Worked,Worked,7.1
77,78,2.0,4.0,2.0,40,Travel_Rarely,Research & Development,2,4,Other,Male,4,Research Scientist,Married,50330,2.0,14,2,6,6,4,0,2,3,3,No,Worked,Worked,9.91
78,79,2.0,1.0,2.0,29,Travel_Rarely,Research & Development,29,3,Medical,Female,1,Research Scientist,Married,23070,1.0,13,1,7,0,7,0,7,3,3,Yes,Resignation,Salary,10.48
79,80,2.0,4.0,3.0,29,Travel_Rarely,Human Resources,8,3,Medical,Male,3,Sales Representative,Single,25870,0.0,22,2,4,3,3,2,2,3,4,No,Worked,Worked,6.91
80,81,4.0,3.0,3.0,30,Travel_Rarely,Research & Development,10,3,Life Sciences,Male,2,Research Scientist,Divorced,55070,1.0,12,2,10,2,10,1,2,2,3,No,Worked,Worked,7.59
81,82,2.0,2.0,3.0,27,Travel_Rarely,Research & Development,11,2,Medical,Male,1,Manager,Married,43930,1.0,18,1,8,2,8,0,7,2,3,No,Worked,Worked,6.08
82,83,4.0,4.0,2.0,37,Travel_Rarely,Sales,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,133480,7.0,14,0,8,4,6,0,4,3,3,No,Worked,Worked,6.0
83,84,3.0,4.0,3.0,38,Travel_Rarely,Research & Development,28,4,Medical,Male,1,Laboratory Technician,Divorced,65830,0.0,12,0,12,1,11,2,9,3,3,No,Worked,Worked,8.98
84,85,3.0,4.0,3.0,31,Travel_Rarely,Research & Development,6,3,Medical,Female,3,Manager,Single,81030,1.0,15,1,11,5,11,4,10,3,3,No,Worked,Worked,10.43
85,86,4.0,2.0,3.0,29,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1.0,11,0,7,0,7,1,7,3,3,No,Worked,Worked,8.39
86,87,3.0,2.0,3.0,35,Travel_Rarely,Sales,16,2,Technical Degree,Male,3,Manager,Single,25440,0.0,13,1,17,3,16,0,13,4,3,No,Worked,Worked,7.91
87,88,3.0,4.0,2.0,23,Travel_Rarely,Research & Development,20,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1.0,23,0,4,2,4,0,2,2,4,No,Worked,Worked,7.11
88,89,4.0,2.0,3.0,41,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6.0,19,2,8,0,5,1,2,3,3,No,Worked,Worked,9.69
89,90,2.0,3.0,3.0,47,Travel_Frequently,Sales,1,3,Medical,Female,2,Laboratory Technician,Single,68340,3.0,16,1,5,2,0,0,0,4,3,No,Worked,Worked,7.77
90,91,1.0,4.0,3.0,42,Travel_Rarely,Research & Development,3,4,Life Sciences,Male,1,Manager,Single,10910,2.0,22,0,16,0,1,0,0,1,4,No,Worked,Worked,6.28
91,92,4.0,3.0,2.0,29,Non-Travel,Sales,22,4,Marketing,Male,2,Human Resources,Married,57360,1.0,22,0,4,1,4,0,2,2,4,No,Worked,Worked,6.31
92,93,3.0,3.0,3.0,42,Travel_Rarely,Sales,7,4,Medical,Male,3,Research Scientist,Divorced,22260,0.0,12,1,4,3,3,1,0,2,3,No,Worked,Worked,8.83
93,94,3.0,2.0,3.0,32,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Research Scientist,Married,57470,1.0,13,0,8,0,8,0,7,3,3,No,Worked,Worked,7.72
94,95,1.0,3.0,1.0,48,Travel_Rarely,Sales,13,4,Medical,Male,4,Sales Executive,Married,98540,3.0,16,1,15,2,0,0,0,2,3,No,Worked,Worked,7.32
95,96,3.0,1.0,3.0,37,Travel_Rarely,Research & Development,8,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4.0,12,0,13,2,7,6,7,3,3,No,Worked,Worked,10.8
96,97,4.0,3.0,4.0,30,Non-Travel,Sales,25,4,Other,Male,1,Healthcare Representative,Married,53800,7.0,21,1,4,0,2,2,2,3,4,No,Worked,Worked,10.4
97,98,3.0,3.0,3.0,26,Travel_Rarely,Sales,28,3,Medical,Female,5,Laboratory Technician,Married,51510,1.0,15,3,8,3,8,7,7,3,3,No,Worked,Worked,5.99
98,99,1.0,4.0,3.0,42,Travel_Rarely,Sales,2,2,Medical,Female,1,Laboratory Technician,Single,21330,3.0,13,2,14,2,1,0,0,3,3,No,Worked,Worked,6.11
99,100,1.0,2.0,3.0,21,Travel_Frequently,Research & Development,9,3,Medical,Female,4,Manufacturing Director,Single,178750,1.0,12,0,3,5,3,1,2,2,3,Yes,Resignation,Others,8.13
100,101,4.0,4.0,3.0,36,Non-Travel,Human Resources,28,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4.0,22,0,7,4,1,0,0,1,4,No,Worked,Worked,7.31
101,102,1.0,4.0,3.0,36,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,2,Research Scientist,Married,47710,4.0,13,1,16,2,13,1,12,3,3,No,Worked,Worked,7.11
102,103,4.0,3.0,3.0,57,Travel_Rarely,Research & Development,21,4,Life Sciences,Male,5,Research Scientist,Married,191610,2.0,18,0,15,2,3,1,2,1,3,No,Worked,Worked,6.33
103,104,4.0,3.0,3.0,40,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Executive,Married,50870,3.0,14,1,10,3,7,1,7,3,3,No,Worked,Worked,8.13
104,105,1.0,4.0,2.0,21,Non-Travel,Research & Development,1,5,Life Sciences,Female,2,Manager,Single,28630,1.0,14,0,3,2,3,2,2,1,3,No,Worked,Worked,7.99
105,106,4.0,3.0,3.0,33,Travel_Rarely,Human Resources,28,2,Human Resources,Female,5,Manager,Single,55610,1.0,21,1,1,3,1,0,0,1,4,Yes,Resignation,Salary,10.51
106,107,3.0,1.0,3.0,37,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,4,Research Scientist,Married,21440,6.0,19,0,17,3,5,0,3,4,3,No,Worked,Worked,7.99
107,108,3.0,3.0,4.0,46,Non-Travel,Sales,2,4,Marketing,Female,2,Laboratory Technician,Married,30650,2.0,11,0,7,3,1,0,0,3,3,No,Worked,Worked,6.1
108,109,1.0,2.0,3.0,41,Travel_Frequently,Research & Development,16,1,Medical,Female,1,Research Scientist,Single,28100,1.0,11,0,8,3,8,7,7,4,3,Yes,Resignation,Others,7.59
109,110,4.0,4.0,3.0,50,Travel_Rarely,Research & Development,9,3,Medical,Female,3,Laboratory Technician,Single,98880,6.0,15,0,20,2,4,1,3,3,3,No,Worked,Worked,6.89
110,111,3.0,3.0,3.0,40,Travel_Rarely,Research & Development,8,3,Medical,Female,1,Healthcare Representative,Married,86280,2.0,20,0,8,2,6,1,0,2,4,Yes,Resignation,Stress,9.3
111,112,3.0,2.0,3.0,31,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,4,Human Resources,Single,28670,0.0,24,0,3,5,2,2,2,3,4,No,Worked,Worked,10.81
112,113,3.0,2.0,3.0,21,Travel_Rarely,Human Resources,10,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1.0,12,1,1,2,1,0,0,3,3,Yes,Resignation,Others,5.99
113,114,4.0,4.0,3.0,29,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Research Director,Single,66670,9.0,12,1,6,6,3,1,2,4,3,No,Worked,Worked,7.79
114,115,3.0,2.0,3.0,35,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Sales Executive,Single,50030,9.0,15,0,10,2,1,0,0,3,3,No,Worked,Worked,7.72
115,116,4.0,2.0,3.0,0,Travel_Rarely,Research & Development,0,0,Life Sciences,Male,0,Sales Executive,Married,0,1.0,0,0,0,0,0,0,0,3,3,No,Worked,Worked,6.19
116,117,2.0,4.0,3.0,28,Travel_Rarely,Research & Development,2,2,Medical,Male,3,Manager,Single,28580,1.0,12,0,7,2,7,0,7,2,3,No,Worked,Worked,7.12
117,118,2.0,3.0,3.0,49,Travel_Rarely,Sales,2,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8.0,14,1,26,3,5,0,0,3,3,No,Worked,Worked,7.82
118,119,3.0,4.0,2.0,51,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,41050,4.0,22,1,18,2,7,0,7,3,4,No,Worked,Worked,7.62
119,120,4.0,3.0,3.0,36,Travel_Rarely,Sales,15,2,Life Sciences,Male,1,Sales Executive,Married,96790,4.0,12,0,6,1,2,2,2,3,3,No,Worked,Worked,6.0
120,121,1.0,4.0,2.0,34,Non-Travel,Research & Development,7,3,Life Sciences,Male,1,Sales Representative,Single,56170,8.0,25,1,9,3,5,0,4,3,4,Yes,Fired,Worked,9.11
121,122,3.0,4.0,3.0,55,Travel_Rarely,Sales,26,3,Marketing,Male,1,Laboratory Technician,Single,104480,2.0,13,0,30,3,5,1,2,3,3,No,Worked,Worked,8.68
122,123,4.0,3.0,4.0,24,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,5,Manager,Divorced,28970,1.0,18,3,5,4,5,0,3,3,3,No,Worked,Worked,9.99
123,124,3.0,2.0,3.0,30,Travel_Rarely,Research & Development,3,3,Life Sciences,Female,2,Manager,Married,59680,1.0,13,0,1,3,1,0,0,3,3,No,Worked,Worked,6.9
124,125,3.0,4.0,3.0,26,Travel_Frequently,Sales,14,3,Life Sciences,Male,2,Manager,Single,75100,0.0,18,3,7,3,6,0,4,3,3,Yes,Resignation,Stress,7.0
125,126,1.0,2.0,3.0,22,Travel_Rarely,Research & Development,16,5,Other,Male,1,Research Scientist,Married,29910,1.0,19,2,2,3,2,1,2,2,3,No,Worked,Worked,6.29
126,127,2.0,3.0,3.0,36,Travel_Rarely,Research & Development,1,3,Medical,Female,5,Healthcare Representative,Married,196360,1.0,12,1,10,3,10,9,0,3,3,No,Worked,Worked,6.37
127,128,3.0,4.0,3.0,30,Travel_Frequently,Sales,3,2,Marketing,Male,3,Research Scientist,Single,11290,9.0,19,0,3,2,1,0,0,2,3,Yes,Resignation,Others,8.19
128,129,4.0,1.0,2.0,37,Travel_Rarely,Research & Development,10,1,Technical Degree,Male,1,Sales Executive,Divorced,133410,1.0,14,1,18,3,18,12,17,3,3,No,Worked,Worked,6.45
129,130,4.0,2.0,3.0,40,Travel_Rarely,Research & Development,6,2,Medical,Male,3,Research Scientist,Divorced,43320,7.0,14,2,8,3,5,1,3,2,3,No,Worked,Worked,6.68
130,131,2.0,1.0,3.0,42,Travel_Rarely,Research & Development,2,3,Medical,Female,4,Manager,Divorced,110310,3.0,12,1,8,2,5,1,2,2,3,No,Worked,Worked,7.48
131,132,3.0,2.0,2.0,37,Travel_Rarely,Sales,9,1,Marketing,Male,3,Sales Executive,Single,44400,2.0,11,1,18,3,1,0,1,2,3,No,Worked,Worked,9.92
132,133,1.0,2.0,3.0,43,Travel_Rarely,Sales,10,2,Life Sciences,Female,1,Sales Executive,Divorced,46170,1.0,11,0,25,2,25,3,9,3,3,No,Worked,Worked,7.42
133,134,2.0,3.0,3.0,40,Travel_Rarely,Sales,6,2,Life Sciences,Female,1,Laboratory Technician,Married,26470,6.0,13,0,20,2,1,0,0,2,3,No,Worked,Worked,7.49
134,135,1.0,1.0,2.0,54,Travel_Rarely,Human Resources,9,3,Life Sciences,Female,2,Manufacturing Director,Married,63230,4.0,23,1,24,2,4,1,2,2,4,No,Worked,Worked,6.0
