"EmployeeID";"EnvironmentSatisfaction";"JobSatisfaction";"WorkLifeBalance";"Age";"BusinessTravel";"Department";"DistanceFromHome";"Education";"EducationField";"EmployeeCount";"Gender";"JobLevel";"JobRole";"MaritalStatus";"MonthlyIncome";"NumCompaniesWorked";"PercentSalaryHike";"StandardHours";"StockOptionLevel";"TotalWorkingYears";"TrainingTimesLastYear";"YearsAtCompany";"YearsSinceLastPromotion";"YearsWithCurrManager";"JobInvolvement";"PerformanceRating";"Attrition";"retirementDate";"retirementType";"resignationReason"
2;"3";"2";"4";31;"Travel_Frequently";"Research & Development";10;1;"Life Sciences";1;"Female";1;"Research Scientist";"Single";41890;"0";23;8;1;6;3;5;1;4;2;"4";"Yes";"15/10/2016";"Resignation";"Others"
7;"1";"3";"1";28;"Travel_Rarely";"Research & Development";11;2;"Medical";1;"Male";2;"Sales Executive";"Single";58130;"2";20;8;1;5;2;0;0;0;3;"4";"Yes";"20/07/2016";"Resignation";"Stress"
14;"1";"2";"2";47;"Non-Travel";"Research & Development";1;1;"Medical";1;"Male";1;"Research Scientist";"Married";57620;"1";11;8;2;10;4;10;9;9;2;"3";"Yes";"08/11/2016";"Resignation";"Others"
29;"4";"3";"1";44;"Travel_Frequently";"Research & Development";1;2;"Medical";1;"Male";2;"Research Scientist";"Divorced";103330;"3";14;8;1;19;2;1;0;0;2;"3";"Yes";"15/10/2016";"Resignation";"Others"
31;"1";"2";"3";26;"Travel_Rarely";"Research & Development";4;3;"Medical";1;"Male";3;"Research Scientist";"Divorced";68540;"2";11;8;0;5;5;3;0;2;2;"3";"Yes";"08/02/2016";"Resignation";"Salary"
36;"4";"4";"3";26;"Travel_Rarely";"Research & Development";8;3;"Medical";1;"Male";2;"Manager";"Single";157870;"1";12;8;2;8;5;8;7;4;3;"3";"Yes";"18/06/2016";"Resignation";"Others"
39;"3";"3";"3";18;"Travel_Rarely";"Research & Development";1;4;"Life Sciences";1;"Male";1;"Sales Executive";"Single";23350;"1";14;8;2;0;3;0;0;0;2;"3";"Yes";"29/04/2016";"Resignation";"Stress"
60;"3";"2";"2";52;"Travel_Rarely";"Research & Development";7;1;"Life Sciences";1;"Female";2;"Research Scientist";"Married";47740;"2";18;8;1;11;2;8;7;7;3;"3";"Yes";"15/12/2016";"Resignation";"Others"
66;"1";"4";"2";28;"Travel_Rarely";"Research & Development";9;4;"Medical";1;"Male";1;"Sales Executive";"Married";56730;"5";14;8;1;5;4;3;2;2;2;"3";"Yes";"18/01/2016";"Resignation";"Salary"
70;"4";"3";"2";39;"Travel_Rarely";"Research & Development";1;1;"Medical";1;"Female";1;"Laboratory Technician";"Married";42840;"4";17;8;1;12;0;1;0;0;3;"3";"Yes";"23/08/2016";"Fired";"NA"
79;"2";"1";"2";29;"Travel_Rarely";"Research & Development";29;3;"Medical";1;"Female";1;"Research Scientist";"Married";23070;"1";13;8;1;7;0;7;0;7;3;"3";"Yes";"17/02/2016";"Resignation";"Salary"
100;"1";"2";"3";21;"Travel_Frequently";"Research & Development";9;3;"Medical";1;"Female";4;"Manufacturing Director";"Single";178750;"1";12;8;0;3;5;3;1;2;2;"3";"Yes";"23/02/2016";"Resignation";"Others"
106;"4";"3";"3";33;"Travel_Rarely";"Human Resources";28;2;"Human Resources";1;"Female";5;"Manager";"Single";55610;"1";21;8;1;1;3;1;0;0;1;"4";"Yes";"07/04/2016";"Resignation";"Salary"
109;"1";"2";"3";41;"Travel_Frequently";"Research & Development";16;1;"Medical";1;"Female";1;"Research Scientist";"Single";28100;"1";11;8;0;8;3;8;7;7;4;"3";"Yes";"08/10/2016";"Resignation";"Others"
